#Additional Provinces;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
PROV3258;Benevento;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3259;Avellino;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3260;Rieta;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3261;Po River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3262;Danube River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3263;Rhine River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3264;Seine River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3265;Rhone River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3266;Elbe River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3267;Vistula River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3268;Dnieper River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3269;Daugava River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3270;Volga River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3271;Loire River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3272;Oder River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3273;Nile River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3274;Elephantine;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3275;Tigris and Euphrates River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3276;Indus River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3277;Ganges River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3278;Mekong River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3279;Pearl River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3280;Yangtze River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3281;Yellow River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3282;Dornogovi Aimag;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3283;Liao River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3284;Amur River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3285;Tanchon;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3286;Amnok and Duman River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3287;Mississippi Water System;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3288;St. Lawrence River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3289;Rio Grande River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3290;Amazon River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3291;Orinoco River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3292;Uruguay River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3293;Paraguay River System;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3294;Ebro River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3295;Lleida;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3296;Congo River;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3297;Niger River;;;;;;;;;;;;;;;;;;;;;;;;;;;
#############################################;;;;;;;;;;;;;;x
PROV3298;Zealand Straits;;;;;;;;;;;;;;;;;;;x
PROV3299;Fyn Strait;;;;;;;;;;;;;;;;;;;;;x
PROV3300;South Denmark Sea;;;;;;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#Additional Provinces;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
PROV3256;Kampen;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3257;Almere;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROV3301;Jura;;;;;;;;;;;;;;;;;;;;;;;;;;;
