#TECHNOLOGY;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_napoleonic_thought;Post-Groverian Thought;;;;;;;;;;;;;;;;;;;;;;;;;;;
flintlock_rifles;Standardized Blades;;;;;;;;;;;;;;;;;;;;;;;;;;;
muzzle_loaded_rifles;Hoof Cannons;;;;;;;;;;;;;;;;;;;;;;;;;;;
breech_loaded_rifles;Muskets;;;;;;;;;;;;;;;;;;;;;;;;;;;
machine_guns;Gaitling Guns;;;;;;;;;;;;;;;;;;;;;;;;;;;
storm_troopers;Specialized Units;;;;;;;;;;;;;;;;;;;;;;;;;;;
bronze_muzzle_loaded_artillery;Bronze Cast Cannons;;;;;;;;;;;;;;;;;;;;;;;;;;;
iron_muzzle_loaded_artillery;Iron Cast Cannons;;;;;;;;;;;;;;;;;;;;;;;;;;;
iron_breech_loaded_artillery;Breech-Loaded Artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;
steel_breech_loaded_artillery;Modern Field Guns;;;;;;;;;;;;;;;;;;;;;;;;;;;
creeping_barrage;Massed Artillery Batteries;;;;;;;;;;;;;;;;;;;;;;;;;;;
heavy_armament;Armored Vehicle Applications;;;;;;;;;;;;;;;;;;;;;;;;;;;
aeronautics;Non-Magical Flight;;;;;;;;;;;;;;;;;;;;;;;;;;;
combined_arms_experiments;Combined Arms Experiments;;;;;;;;;;;;;;;;;;;;;;;;;;;
great_war_experience;Great War Experience;;;;;;;;;;;;;;;;;;;;;;;;;;; #Needs something besides "great war"
total_war_philosophy;Total War Philosophy;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_nelsonian_thought;Post-Neighsonian Thought;;;;;;;;;;;;;;;;;;;;;;;;;;;
early_modern_naval_doctrine;Early Modern Naval Doctrine;;;;;;;;;;;;;;;;;;;;;;;;;;;
aircraft_carriers;Aircraft Carriers;;;;;;;;;;;;;;;;;;;;;;;;;;;
early_modern_naval_design;Early Modern Naval Design;;;;;;;;;;;;;;;;;;;;;;;;;;;
naval_aviation;Naval Aviation;;;;;;;;;;;;;;;;;;;;;;;;;;;
early_modern_naval_training;Early Modern Naval Training;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_financial_institutions;Modern Financial Institutions;;;;;;;;;;;;;;;;;;;;;;;;;;;
fiat_based_monetary_system;Fiat-Based Monetary System;;;;;;;;;;;;;;;;;;;;;;;;;;;
collectivist_theory;Marksist Theory;;;;;;;;;;;;;;;;;;;;;;;;;;;
keynesian_economics;Hayesian Economics;;;;;;;;;;;;;;;;;;;;;;;;;;;
neoliberal_theory;Modern Harmonist Theory;;;;;;;;;;;;;;;;;;;;;;;;;;;
monetarism;Monetarism;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_business_management;Modern Business Management;;;;;;;;;;;;;;;;;;;;;;;;;;;
modernism;Modernism;;;;;;;;;;;;;;;;;;;;;;;;;;;
late_enlightenment_philosophy;Hayscartesian Philosophy;;;;;;;;;;;;;;;;;;;;;;;;;;;
quantum_mechanics;Quantum Mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;
malthusian_thought;Malclawsian Thought;;;;;;;;;;;;;;;;;;;;;;;;;;;
critical_theory;Critical Theory;;;;;;;;;;;;;;;;;;;;;;;;;;;
enlightenment_thought;The Rights of Creatures;;;;;;;;;;;;;;;;;;;;;;;;;;;
government_mobilization;Government Mobilization;;;;;;;;;;;;;;;;;;;;;;;;;;;
humanistic_psychology;Modern Psychology;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_power_generation;Electromagical Engines;;;;;;;;;;;;;;;;;;;;;;;;;;;
mechanized_manufacturing;Mechanized Manufacturing;;;;;;;;;;;;;;;;;;;;;;;;;;;
mechanized_mining;Strip Mining;;;;;;;;;;;;;;;;;;;;;;;;;;;
advanced_metallurgy;Magical Furnace;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_metallurgy;Electromagical Metallurgy;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_infrastructure;Modern Infrastructure;;;;;;;;;;;;;;;;;;;;;;;;;;;
basic_chemistry;Foundational Alchemy;;;;;;;;;;;;;;;;;;;;;;;;;;;
modern_chemistry;Modern Magical Synthesis;;;;;;;;;;;;;;;;;;;;;;;;;;;
#INVENTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_napoleonic_army_doctrine;Post-Groverian Army Doctrine;;;;;;;;;;;;;;;;;;;;;;;;;;;
flintlock_rifle_armament;Bladed Weapon Armament;;;;;;;;;;;;;;;;;;;;;;;;;;;
muzzle_loaded_rifle_armament;Hoof Cannon Armament;;;;;;;;;;;;;;;;;;;;;;;;;;;
breech_loaded_rifle_armament;Musket Rifle Armament;;;;;;;;;;;;;;;;;;;;;;;;;;;
brixham_trawlers;Buxham Trawlers;;;;;;;;;;;;;;;;;;;;;;;;;;;
adam_smith;Apple Cider;;;;;;;;;;;;;;;;;;;;;;;;;;;
karl_marx;Caramel Marks;;;;;;;;;;;;;;;;;;;;;;;;;;;
john_maynard_keynes;J. Maneard Haynes;;;;;;;;;;;;;;;;;;;;;;;;;;;
human_resource_development;Creature Resource Development;;;;;;;;;;;;;;;;;;;;;;;;;;;
thomas_robert_malthus;Tomas Malclaw;;;;;;;;;;;;;;;;;;;;;;;;;;;
darwinism;Darwhinnyism;;;;;;;;;;;;;;;;;;;;;;;;;;;
social_darwinism;Social Darwhinnyism;;;;;;;;;;;;;;;;;;;;;;;;;;;
florence_nightingale;Flower Nightingale;;;;;;;;;;;;;;;;;;;;;;;;;;;
marxism_leninism;Marksism-Lightninism;;;;;;;;;;;;;;;;;;;;;;;;;;;
rotherham_plough;Rotherhay Plough;;;;;;;;;;;;;;;;;;;;;;;;;;;
portland_cement;Baltimare Cement;;;;;;;;;;;;;;;;;;;;;;;;;;;
pitts_threshing_machine;Sticks Threshing Machien;;;;;;;;;;;;;;;;;;;;;;;;;;;
whitney_n_colts_standardized_small_arms;Whinny & Colt's Standardized Small Arms;;;;;;;;;;;;;;;;;;;;;;;;;;;
bessemer_steel;Bessemare Steel;;;;;;;;;;;;;;;;;;;;;;;;;;;
combat_medicine;Health Potions;;;;;;;;;;;;;;;;;;;;;;;;;;;
prophylaxis_against_malaria;Prophylaxis against Hay Fever;;;;;;;;;;;;;;;;;;;;;;;;;;;
gas_lights;Gem Lights;;;;;;;;;;;;;;;;;;;;;;;;;;;
#INVENTION DESCRIPTIONS;;;;;;;;;;;;;;;;;;;;;;;;;;;
